datum,kraj,disciplina,mesto
15-01-2016,Wengen,Alpine combined,DNS2
28-12-2014,Santa Caterina,Downhill,DNF1
20-12-2014,Val Gardena / Groeden,Super G,25
19-12-2014,Val Gardena / Groeden,Downhill,28
05-12-2014,Beaver Creek,Downhill,DNF1
29-11-2014,Lake Louise,Downhill,24
02-02-2014,St. Moritz,Giant Slalom,DNF1
26-01-2014,Kitzbuehel,Super G,52
26-01-2014,Kitzbuehel,Super Combined,DNF2
25-01-2014,Kitzbuehel,Downhill,41
17-01-2014,Wengen,Super Combined,17
11-01-2014,Adelboden,Giant Slalom,DNF1
29-12-2013,Bormio,Downhill,26
21-12-2013,Val Gardena / Groeden,Downhill,DNF1
20-12-2013,Val Gardena / Groeden,Super G,49
08-12-2013,Beaver Creek,Giant Slalom,DNF1
06-12-2013,Beaver Creek,Downhill,48
30-11-2013,Lake Louise,Downhill,46
24-02-2013,Garmisch-Partenkirchen,Giant Slalom,DNF1
27-01-2013,Kitzbuehel,Slalom,DNF1
27-01-2013,Kitzbuehel,Super Combined,DNF1
26-01-2013,Kitzbuehel,Downhill,40
25-01-2013,Kitzbuehel,Super G,36
18-01-2013,Wengen,Super Combined,8
12-01-2013,Adelboden,Giant Slalom,21
16-12-2012,Alta Badia,Giant Slalom,DNQ1
09-12-2012,Val d'Isere,Giant Slalom,DNF1
02-12-2012,Beaver Creek,Giant Slalom,DNQ1
01-12-2012,Beaver Creek,Super G,38
28-10-2012,Soelden,Giant Slalom,DNF2
11-03-2012,Kranjska Gora,Slalom,DNS1
10-03-2012,Kranjska Gora,Giant Slalom,DNQ1
26-02-2012,Crans Montana,Giant Slalom,16
18-02-2012,Bansko,Giant Slalom,DNF2
12-02-2012,Sochi,Super Combined,DNF1
11-02-2012,Sochi,Downhill,DNS1
24-01-2012,Schladming,Slalom,DNQ1
22-01-2012,Kitzbuehel,Slalom,DNQ1
15-01-2012,Wengen,Slalom,DNF1
13-01-2012,Wengen,Super Combined,DNF2
08-01-2012,Adelboden,Slalom,DNQ1
07-01-2012,Adelboden,Giant Slalom,DNF1
05-01-2012,Zagreb,Slalom,DNF1
21-12-2011,Flachau,Slalom,DNF1
19-12-2011,Alta Badia,Slalom,DNF1
18-12-2011,Alta Badia,Giant Slalom,DNF1
08-12-2011,Beaver Creek,Slalom,30
06-12-2011,Beaver Creek,Giant Slalom,25
04-12-2011,Beaver Creek,Giant Slalom,27
23-10-2011,Soelden,Giant Slalom,24
06-03-2011,Kranjska Gora,Slalom,DNF1
05-03-2011,Kranjska Gora,Giant Slalom,27
27-02-2011,Bansko,Slalom,DNF1
26-02-2011,Bansko,Super Combined,16
06-02-2011,Hinterstoder,Giant Slalom,5
25-01-2011,Schladming,Slalom,DNF1
23-01-2011,Kitzbuehel,Slalom,DNQ1
16-01-2011,Wengen,Slalom,DNQ1
09-01-2011,Adelboden,Slalom,21
08-01-2011,Adelboden,Giant Slalom,7
06-01-2011,Zagreb,Slalom,DNQ1
19-12-2010,Alta Badia,Giant Slalom,DNF2
11-12-2010,Val d'Isere,Giant Slalom,21
05-12-2010,Beaver Creek,Giant Slalom,26
12-03-2010,Garmisch Partenkirchen,Giant Slalom,DNF2
31-01-2010,Kranjska Gora,Slalom,DNF1
30-01-2010,Kranjska Gora,Giant Slalom,20
29-01-2010,Kranjska Gora,Giant Slalom,13
26-01-2010,Schladming,Slalom,14
