datum,kraj,disciplina,mesto,zaostanek
29-11-2015,"Aspen, CO",Slalom,DNQ1,
28-11-2015,"Aspen, CO",Slalom,DNQ1,
27-11-2015,"Aspen, CO",Giant Slalom,DNQ1,
24-10-2015,Soelden,Giant Slalom,DNQ1,
08-03-2014,Are,Slalom,18,28.46
02-02-2014,Kranjska Gora,Slalom,DNQ1,
14-01-2014,Flachau,Slalom,22,20.68
12-01-2014,Altenmarkt / Zauchensee,Super Combined,30,42.36
05-01-2014,Bormio,Slalom,DNQ1,
29-12-2013,Lienz,Slalom,13,15.55
17-12-2013,Courchevel,Slalom,29,40.74
16-11-2013,Levi,Slalom,DNQ1,
26-10-2013,Soelden,Giant Slalom,DNQ1,
16-03-2013,Lenzerheide,Slalom,17,106.73
27-01-2013,Maribor,Slalom,DNQ1,
04-01-2013,Zagreb,Slalom,DNQ1,
16-12-2012,Courchevel,Giant Slalom,DNF1,
10-11-2012,Levi,Slalom,DNQ1,
27-10-2012,Soelden,Giant Slalom,DNQ1,
