datum,kraj,disciplina,mesto
07-03-2016,Jasna,Giant Slalom,DNF1
28-02-2016,Soldeu- El Tarter,Alpine combined,28
27-02-2016,Soldeu- El Tarter,Super G,51
30-01-2016,Maribor,Giant Slalom,10
24-01-2016,Cortina d'Ampezzo,Super G,DNF1
17-01-2016,Flachau,Giant Slalom,25
10-01-2016,Altenmarkt-Zauchensee,Super G,35
28-12-2015,Lienz,Giant Slalom,14
20-12-2015,Courchevel,Giant Slalom,19
12-12-2015,Are,Giant Slalom,28
27-11-2015,"Aspen, CO",Giant Slalom,DNF1
24-10-2015,Soelden,Giant Slalom,15
22-03-2015,Meribel,Giant Slalom,13
13-03-2015,Are,Giant Slalom,26
22-02-2015,Maribor,Slalom,DNQ1
21-02-2015,Maribor,Giant Slalom,12
28-12-2014,Kuehtai in Tirol,Giant Slalom,6
13-12-2014,Are,Slalom,DNQ1
12-12-2014,Are,Giant Slalom,22
29-11-2014,Aspen,Giant Slalom,26
25-10-2014,Soelden,Giant Slalom,24
16-03-2014,Lenzerheide,Giant Slalom,DNF1
07-03-2014,Are,Giant Slalom,DNQ1
06-03-2014,Are,Giant Slalom,DNQ1
26-01-2014,Cortina d Ampezzo,Super G,DNF1
25-01-2014,Cortina d Ampezzo,Downhill,49
23-01-2014,Cortina d Ampezzo,Super G,39
28-12-2013,Lienz,Giant Slalom,30
22-12-2013,Val d'Isere,Giant Slalom,20
15-12-2013,St. Moritz,Giant Slalom,19
14-12-2013,St. Moritz,Super G,DNF1
01-12-2013,Beaver Creek,Giant Slalom,9
26-10-2013,Soelden,Giant Slalom,DNQ1
09-03-2013,Ofterschwang,Giant Slalom,15
03-03-2013,Garmisch-Partenkirchen,Super G,DNF1
01-03-2013,Garmisch-Partenkirchen,Super G,39
26-01-2013,Maribor,Giant Slalom,25
20-01-2013,Cortina d'Ampezzo,Super G,45
13-01-2013,St. Anton,Super G,40
28-12-2012,Semmering,Giant Slalom,DNQ1
19-12-2012,Are,Giant Slalom,25
16-12-2012,Courchevel,Giant Slalom,DNF1
09-12-2012,St. Moritz,Giant Slalom,DNQ1
08-12-2012,St. Moritz,Super G,DNF1
02-12-2012,Lake Louise,Super G,DNF1
24-11-2012,"Aspen, CO",Giant Slalom,13
27-10-2012,Soelden,Giant Slalom,19
09-03-2012,Are,Giant Slalom,DNF1
03-03-2012,Ofterschwang,Giant Slalom,DNQ1
02-03-2012,Ofterschwang,Giant Slalom,DNQ1
26-02-2012,Bansko,Super G,DNF1
12-02-2012,Soldeu-Grandvalira,Giant Slalom,21
05-02-2012,Garmisch-Partenkirchen,Super G,16
29-01-2012,St. Moritz,Super Combined,38
22-01-2012,Kranjska Gora,Slalom,DNF1
21-01-2012,Kranjska Gora,Giant Slalom,DNQ1
15-01-2012,Cortina d'Ampezzo,Super G,DNF1
28-12-2011,Lienz,Giant Slalom,DNQ1
20-12-2011,Flachau,Slalom,DNF1
26-11-2011,Aspen,Giant Slalom,24
22-10-2011,Soelden,Giant Slalom,DNF1
11-03-2011,Spindleruv Mlyn,Giant Slalom,18
06-02-2011,Arber-Zwiesel,Giant Slalom,9
04-02-2011,Arber-Zwiesel,Slalom,DNF1
23-01-2011,Cortina d Ampezzo,Super G,36
21-01-2011,Cortina d Ampezzo,Super G,48
11-01-2011,Flachau,Slalom,DNF1
29-12-2010,Semmering,Slalom,DNS1
28-12-2010,Semmering,Giant Slalom,DNQ1
19-12-2010,Val d'Isere,Super Combined,DNF1
12-12-2010,St. Moritz,Giant Slalom,24
05-12-2010,Lake Louise,Super G,35
27-11-2010,Aspen,Giant Slalom,DNF1
23-10-2010,Soelden,Giant Slalom,DNF1
24-01-2010,Cortina d'Ampezzo,Giant Slalom,DNQ1
16-01-2010,Maribor,Giant Slalom,DNQ1
29-12-2009,Lienz,Slalom,DNF1
28-12-2009,Lienz,Giant Slalom,DNQ1
13-12-2009,Are,Slalom,DNQ1
12-12-2009,Are,Giant Slalom,DNQ1
28-11-2009,Aspen,Giant Slalom,25
24-10-2009,Soelden,Giant Slalom,DNQ1
06-03-2009,Ofterschwang,Giant Slalom,DNQ1
29-11-2008,Aspen,Giant Slalom,DNF1
25-10-2008,Soelden,Giant Slalom,DNQ1
26-01-2008,Ofterschwang,Giant Slalom,DNQ1
12-01-2008,Maribor,Giant Slalom,DNQ2
24-11-2007,"Panorama, BC",Giant Slalom,DNQ2
29-12-2006,Semmering,Slalom,DNF1
28-12-2006,Semmering,Giant Slalom,DNQ1
