datum,kraj,disciplina,mesto
19-03-2016,St. Moritz,Slalom,19
06-03-2016,Jasna,Slalom,DNF2
15-02-2016,Crans Montana,Slalom,5
30-01-2016,Maribor,Giant Slalom,DNF1
17-01-2016,Flachau,Giant Slalom,DNQ1
15-01-2016,Flachau,Slalom,DNF1
12-01-2016,Flachau,Slalom,7
05-01-2016,Santa Caterina Valfurva,Slalom,19
29-12-2015,Lienz,Slalom,20
13-12-2015,Are,Slalom,DNF1
29-11-2015,"Aspen, CO",Slalom,24
28-11-2015,"Aspen, CO",Slalom,21
21-03-2015,Meribel,Slalom,14
14-03-2015,Are,Slalom,9
13-03-2015,Are,Giant Slalom,DNQ1
22-02-2015,Maribor,Slalom,DNF2
13-01-2015,Flachau,Slalom,DNF1
04-01-2015,Zagreb,Slalom,DNQ1
29-12-2014,Kuehtai in Tirol,Slalom,9
13-12-2014,Are,Slalom,12
12-12-2014,Are,Giant Slalom,DNQ1
30-11-2014,Aspen,Slalom,12
29-11-2014,Aspen,Giant Slalom,DNQ1
15-11-2014,Levi,Slalom,DNF2
25-10-2014,Soelden,Giant Slalom,DNF1
15-03-2014,Lenzerheide,Slalom,DNF1
08-03-2014,Are,Slalom,3
02-02-2014,Kranjska Gora,Slalom,6
14-01-2014,Flachau,Slalom,14
05-01-2014,Bormio,Slalom,8
29-12-2013,Lienz,Slalom,DNF1
28-12-2013,Lienz,Giant Slalom,DNQ1
17-12-2013,Courchevel,Slalom,15
16-11-2013,Levi,Slalom,9
16-03-2013,Lenzerheide,Slalom,DNF1
10-03-2013,Ofterschwang,Slalom,16
09-03-2013,Ofterschwang,Giant Slalom,DNQ1
27-01-2013,Maribor,Slalom,DNQ1
15-01-2013,Flachau,Slalom,4
04-01-2013,Zagreb,Slalom,DNF1
29-12-2012,Semmering,Slalom,DNF1
28-12-2012,Semmering,Giant Slalom,DNF1
20-12-2012,Are,Slalom,13
19-12-2012,Are,Giant Slalom,DNQ1
25-11-2012,"Aspen, CO",Slalom,25
24-11-2012,"Aspen, CO",Giant Slalom,DNQ1
10-11-2012,Levi,Slalom,7
27-10-2012,Soelden,Giant Slalom,DNQ1
17-03-2012,Schladming,Slalom,10
10-03-2012,Are,Slalom,9
09-03-2012,Are,Giant Slalom,DNQ1
04-03-2012,Ofterschwang,Slalom,15
03-03-2012,Ofterschwang,Giant Slalom,DNQ1
02-03-2012,Ofterschwang,Giant Slalom,DNQ1
12-02-2012,Soldeu-Grandvalira,Giant Slalom,DNF1
11-02-2012,Soldeu-Grandvalira,Slalom,14
22-01-2012,Kranjska Gora,Slalom,21
03-01-2012,Zagreb,Slalom,DNF2
29-12-2011,Lienz,Slalom,25
28-12-2011,Lienz,Giant Slalom,DNF1
20-12-2011,Flachau,Slalom,18
18-12-2011,Courchevel,Slalom,DNF1
27-11-2011,Aspen,Slalom,16
26-11-2011,Aspen,Giant Slalom,DNF1
11-01-2011,Flachau,Slalom,DNF1
29-12-2010,Semmering,Slalom,DNQ1
21-12-2010,Courchevel,Slalom,26
